method,section,line_item,unit,scenario,value_num,value_text,method_formula,source,note,link_location
DCF,Section,Line Item,Unit,Base,,Base,Method / Formula,Source,,
DCF,Section,Line Item,Unit,Bear,,Bear,Method / Formula,Source,,
DCF,Terminal Value,Terminal FCFF,VND bn,Bull,14430.752287547302,14430.7522875473,2030E FCFF x (1 + terminal growth),Formula,,
DCF,Terminal Value,Terminal FCFF,VND bn,Base,14361.038508380409,14361.0385083804,2030E FCFF x (1 + terminal growth),Formula,,
DCF,Terminal Value,Terminal FCFF,VND bn,Bear,14291.324729213511,14291.3247292135,2030E FCFF x (1 + terminal growth),Formula,,
DCF,Terminal Value,Terminal Value,VND bn,Bull,232754.06915398876,232754.069153989,Terminal FCFF / (WACC - terminal growth),Gordon Growth,,
DCF,Terminal Value,Terminal Value,VND bn,Base,175134.61595585864,175134.615955859,Terminal FCFF / (WACC - terminal growth),Gordon Growth,,
DCF,Terminal Value,Terminal Value,VND bn,Bear,132327.080826051,132327.080826051,Terminal FCFF / (WACC - terminal growth),Gordon Growth,,
DCF,Terminal Value,PV of Terminal Value,VND bn,Bull,153166.33680279553,153166.336802796,Terminal value / (1 + WACC)^5,Formula,,
DCF,Terminal Value,PV of Terminal Value,VND bn,Base,108387.28955509115,108387.289555091,Terminal value / (1 + WACC)^5,Formula,,
DCF,Terminal Value,PV of Terminal Value,VND bn,Bear,75253.99138546696,75253.991385467,Terminal value / (1 + WACC)^5,Formula,,
DCF,Explicit Period,PV of Explicit FCFF,VND bn,Bull,38290.217259340374,38290.2172593404,Sum of annual PV FCFF,Rows 41-43,,
DCF,Explicit Period,PV of Explicit FCFF,VND bn,Base,36838.7917233505,36838.7917233505,Sum of annual PV FCFF,Rows 41-43,,
DCF,Explicit Period,PV of Explicit FCFF,VND bn,Bear,34946.85221012455,34946.8522101245,Sum of annual PV FCFF,Rows 41-43,,
DCF,Enterprise Value,Enterprise Value,VND bn,Bull,191456.5540621359,191456.554062136,PV FCFF + PV terminal value,Formula,,
DCF,Enterprise Value,Enterprise Value,VND bn,Base,145226.08127844165,145226.081278442,PV FCFF + PV terminal value,Formula,,
DCF,Enterprise Value,Enterprise Value,VND bn,Bear,110200.8435955915,110200.843595592,PV FCFF + PV terminal value,Formula,,
DCF,Equity Bridge,Net Debt / (Net Cash),VND bn,Bull,-18284.153128744998,-18284.153128745,Linked,16_Trading_Comps,,
DCF,Equity Bridge,Net Debt / (Net Cash),VND bn,Base,-18284.153128744998,-18284.153128745,Linked,16_Trading_Comps,,
DCF,Equity Bridge,Net Debt / (Net Cash),VND bn,Bear,-18284.153128744998,-18284.153128745,Linked,16_Trading_Comps,,
DCF,Equity Bridge,Minority Interest,VND bn,Bull,632.1648863183425,632.164886318342,Linked,13_Balance_Sheet,,
DCF,Equity Bridge,Minority Interest,VND bn,Base,632.1648863183425,632.164886318342,Linked,13_Balance_Sheet,,
DCF,Equity Bridge,Minority Interest,VND bn,Bear,632.1648863183425,632.164886318342,Linked,13_Balance_Sheet,,
DCF,Equity Value,Equity Value,VND bn,Bull,209108.54230456255,209108.542304563,EV - net debt - minority interest,Formula,,
DCF,Equity Value,Equity Value,VND bn,Base,162878.0695208683,162878.069520868,EV - net debt - minority interest,Formula,,
DCF,Equity Value,Equity Value,VND bn,Bear,127852.83183801816,127852.831838018,EV - net debt - minority interest,Formula,,
DCF,Equity Value,Target Price,VND/share,Bull,142403.42665100578,142403.426651006,Equity value x 1bn / shares,Formula,,
